id,lbl,opt,sar
ROIs0000_autumn_dfc_BandarAnzali_p471,E:\Data\DFC2020\ROIs0000_autumn\dfc_BandarAnzali\ROIs0000_autumn_dfc_BandarAnzali_p471.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_BandarAnzali\ROIs0000_autumn_s2_BandarAnzali_p471.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_BandarAnzali\ROIs0000_autumn_s1_BandarAnzali_p471.tif
ROIs0000_winter_dfc_MexicoCity_p495,E:\Data\DFC2020\ROIs0000_winter\dfc_MexicoCity\ROIs0000_winter_dfc_MexicoCity_p495.tif,E:\Data\DFC2020\ROIs0000_winter\s2_MexicoCity\ROIs0000_winter_s2_MexicoCity_p495.tif,E:\Data\DFC2020\ROIs0000_winter\s1_MexicoCity\ROIs0000_winter_s1_MexicoCity_p495.tif
ROIs0000_autumn_dfc_CapeTown_p88,E:\Data\DFC2020\ROIs0000_autumn\dfc_CapeTown\ROIs0000_autumn_dfc_CapeTown_p88.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_CapeTown\ROIs0000_autumn_s2_CapeTown_p88.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_CapeTown\ROIs0000_autumn_s1_CapeTown_p88.tif
ROIs0000_spring_dfc_BlackForest_p881,E:\Data\DFC2020\ROIs0000_spring\dfc_BlackForest\ROIs0000_spring_dfc_BlackForest_p881.tif,E:\Data\DFC2020\ROIs0000_spring\s2_BlackForest\ROIs0000_spring_s2_BlackForest_p881.tif,E:\Data\DFC2020\ROIs0000_spring\s1_BlackForest\ROIs0000_spring_s1_BlackForest_p881.tif
ROIs0000_autumn_dfc_CapeTown_p671,E:\Data\DFC2020\ROIs0000_autumn\dfc_CapeTown\ROIs0000_autumn_dfc_CapeTown_p671.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_CapeTown\ROIs0000_autumn_s2_CapeTown_p671.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_CapeTown\ROIs0000_autumn_s1_CapeTown_p671.tif
ROIs0000_winter_dfc_KippaRing_p497,E:\Data\DFC2020\ROIs0000_winter\dfc_KippaRing\ROIs0000_winter_dfc_KippaRing_p497.tif,E:\Data\DFC2020\ROIs0000_winter\s2_KippaRing\ROIs0000_winter_s2_KippaRing_p497.tif,E:\Data\DFC2020\ROIs0000_winter\s1_KippaRing\ROIs0000_winter_s1_KippaRing_p497.tif
ROIs0000_autumn_dfc_CapeTown_p507,E:\Data\DFC2020\ROIs0000_autumn\dfc_CapeTown\ROIs0000_autumn_dfc_CapeTown_p507.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_CapeTown\ROIs0000_autumn_s2_CapeTown_p507.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_CapeTown\ROIs0000_autumn_s1_CapeTown_p507.tif
ROIs0000_autumn_dfc_Mumbai_p225,E:\Data\DFC2020\ROIs0000_autumn\dfc_Mumbai\ROIs0000_autumn_dfc_Mumbai_p225.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_Mumbai\ROIs0000_autumn_s2_Mumbai_p225.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_Mumbai\ROIs0000_autumn_s1_Mumbai_p225.tif
ROIs0000_winter_dfc_MexicoCity_p209,E:\Data\DFC2020\ROIs0000_winter\dfc_MexicoCity\ROIs0000_winter_dfc_MexicoCity_p209.tif,E:\Data\DFC2020\ROIs0000_winter\s2_MexicoCity\ROIs0000_winter_s2_MexicoCity_p209.tif,E:\Data\DFC2020\ROIs0000_winter\s1_MexicoCity\ROIs0000_winter_s1_MexicoCity_p209.tif
ROIs0000_spring_dfc_BlackForest_p1329,E:\Data\DFC2020\ROIs0000_spring\dfc_BlackForest\ROIs0000_spring_dfc_BlackForest_p1329.tif,E:\Data\DFC2020\ROIs0000_spring\s2_BlackForest\ROIs0000_spring_s2_BlackForest_p1329.tif,E:\Data\DFC2020\ROIs0000_spring\s1_BlackForest\ROIs0000_spring_s1_BlackForest_p1329.tif
ROIs0000_spring_dfc_BlackForest_p1162,E:\Data\DFC2020\ROIs0000_spring\dfc_BlackForest\ROIs0000_spring_dfc_BlackForest_p1162.tif,E:\Data\DFC2020\ROIs0000_spring\s2_BlackForest\ROIs0000_spring_s2_BlackForest_p1162.tif,E:\Data\DFC2020\ROIs0000_spring\s1_BlackForest\ROIs0000_spring_s1_BlackForest_p1162.tif
ROIs0000_winter_dfc_KippaRing_p551,E:\Data\DFC2020\ROIs0000_winter\dfc_KippaRing\ROIs0000_winter_dfc_KippaRing_p551.tif,E:\Data\DFC2020\ROIs0000_winter\s2_KippaRing\ROIs0000_winter_s2_KippaRing_p551.tif,E:\Data\DFC2020\ROIs0000_winter\s1_KippaRing\ROIs0000_winter_s1_KippaRing_p551.tif
ROIs0000_spring_dfc_BlackForest_p739,E:\Data\DFC2020\ROIs0000_spring\dfc_BlackForest\ROIs0000_spring_dfc_BlackForest_p739.tif,E:\Data\DFC2020\ROIs0000_spring\s2_BlackForest\ROIs0000_spring_s2_BlackForest_p739.tif,E:\Data\DFC2020\ROIs0000_spring\s1_BlackForest\ROIs0000_spring_s1_BlackForest_p739.tif
ROIs0000_winter_dfc_KippaRing_p145,E:\Data\DFC2020\ROIs0000_winter\dfc_KippaRing\ROIs0000_winter_dfc_KippaRing_p145.tif,E:\Data\DFC2020\ROIs0000_winter\s2_KippaRing\ROIs0000_winter_s2_KippaRing_p145.tif,E:\Data\DFC2020\ROIs0000_winter\s1_KippaRing\ROIs0000_winter_s1_KippaRing_p145.tif
ROIs0000_summer_dfc_Chabarovsk_p274,E:\Data\DFC2020\ROIs0000_summer\dfc_Chabarovsk\ROIs0000_summer_dfc_Chabarovsk_p274.tif,E:\Data\DFC2020\ROIs0000_summer\s2_Chabarovsk\ROIs0000_summer_s2_Chabarovsk_p274.tif,E:\Data\DFC2020\ROIs0000_summer\s1_Chabarovsk\ROIs0000_summer_s1_Chabarovsk_p274.tif
ROIs0000_autumn_dfc_CapeTown_p1429,E:\Data\DFC2020\ROIs0000_autumn\dfc_CapeTown\ROIs0000_autumn_dfc_CapeTown_p1429.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_CapeTown\ROIs0000_autumn_s2_CapeTown_p1429.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_CapeTown\ROIs0000_autumn_s1_CapeTown_p1429.tif
ROIs0000_autumn_dfc_BandarAnzali_p156,E:\Data\DFC2020\ROIs0000_autumn\dfc_BandarAnzali\ROIs0000_autumn_dfc_BandarAnzali_p156.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_BandarAnzali\ROIs0000_autumn_s2_BandarAnzali_p156.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_BandarAnzali\ROIs0000_autumn_s1_BandarAnzali_p156.tif
ROIs0000_autumn_dfc_CapeTown_p922,E:\Data\DFC2020\ROIs0000_autumn\dfc_CapeTown\ROIs0000_autumn_dfc_CapeTown_p922.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_CapeTown\ROIs0000_autumn_s2_CapeTown_p922.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_CapeTown\ROIs0000_autumn_s1_CapeTown_p922.tif
ROIs0000_autumn_dfc_CapeTown_p603,E:\Data\DFC2020\ROIs0000_autumn\dfc_CapeTown\ROIs0000_autumn_dfc_CapeTown_p603.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_CapeTown\ROIs0000_autumn_s2_CapeTown_p603.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_CapeTown\ROIs0000_autumn_s1_CapeTown_p603.tif
ROIs0000_spring_dfc_BlackForest_p1268,E:\Data\DFC2020\ROIs0000_spring\dfc_BlackForest\ROIs0000_spring_dfc_BlackForest_p1268.tif,E:\Data\DFC2020\ROIs0000_spring\s2_BlackForest\ROIs0000_spring_s2_BlackForest_p1268.tif,E:\Data\DFC2020\ROIs0000_spring\s1_BlackForest\ROIs0000_spring_s1_BlackForest_p1268.tif
ROIs0000_autumn_dfc_BandarAnzali_p532,E:\Data\DFC2020\ROIs0000_autumn\dfc_BandarAnzali\ROIs0000_autumn_dfc_BandarAnzali_p532.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_BandarAnzali\ROIs0000_autumn_s2_BandarAnzali_p532.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_BandarAnzali\ROIs0000_autumn_s1_BandarAnzali_p532.tif
ROIs0000_autumn_dfc_Mumbai_p619,E:\Data\DFC2020\ROIs0000_autumn\dfc_Mumbai\ROIs0000_autumn_dfc_Mumbai_p619.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_Mumbai\ROIs0000_autumn_s2_Mumbai_p619.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_Mumbai\ROIs0000_autumn_s1_Mumbai_p619.tif
ROIs0000_summer_dfc_Chabarovsk_p140,E:\Data\DFC2020\ROIs0000_summer\dfc_Chabarovsk\ROIs0000_summer_dfc_Chabarovsk_p140.tif,E:\Data\DFC2020\ROIs0000_summer\s2_Chabarovsk\ROIs0000_summer_s2_Chabarovsk_p140.tif,E:\Data\DFC2020\ROIs0000_summer\s1_Chabarovsk\ROIs0000_summer_s1_Chabarovsk_p140.tif
ROIs0000_winter_dfc_MexicoCity_p196,E:\Data\DFC2020\ROIs0000_winter\dfc_MexicoCity\ROIs0000_winter_dfc_MexicoCity_p196.tif,E:\Data\DFC2020\ROIs0000_winter\s2_MexicoCity\ROIs0000_winter_s2_MexicoCity_p196.tif,E:\Data\DFC2020\ROIs0000_winter\s1_MexicoCity\ROIs0000_winter_s1_MexicoCity_p196.tif
ROIs0000_autumn_dfc_Mumbai_p351,E:\Data\DFC2020\ROIs0000_autumn\dfc_Mumbai\ROIs0000_autumn_dfc_Mumbai_p351.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_Mumbai\ROIs0000_autumn_s2_Mumbai_p351.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_Mumbai\ROIs0000_autumn_s1_Mumbai_p351.tif
ROIs0000_winter_dfc_KippaRing_p44,E:\Data\DFC2020\ROIs0000_winter\dfc_KippaRing\ROIs0000_winter_dfc_KippaRing_p44.tif,E:\Data\DFC2020\ROIs0000_winter\s2_KippaRing\ROIs0000_winter_s2_KippaRing_p44.tif,E:\Data\DFC2020\ROIs0000_winter\s1_KippaRing\ROIs0000_winter_s1_KippaRing_p44.tif
ROIs0000_spring_dfc_BlackForest_p857,E:\Data\DFC2020\ROIs0000_spring\dfc_BlackForest\ROIs0000_spring_dfc_BlackForest_p857.tif,E:\Data\DFC2020\ROIs0000_spring\s2_BlackForest\ROIs0000_spring_s2_BlackForest_p857.tif,E:\Data\DFC2020\ROIs0000_spring\s1_BlackForest\ROIs0000_spring_s1_BlackForest_p857.tif
ROIs0000_autumn_dfc_Mumbai_p369,E:\Data\DFC2020\ROIs0000_autumn\dfc_Mumbai\ROIs0000_autumn_dfc_Mumbai_p369.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_Mumbai\ROIs0000_autumn_s2_Mumbai_p369.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_Mumbai\ROIs0000_autumn_s1_Mumbai_p369.tif
ROIs0000_spring_dfc_BlackForest_p523,E:\Data\DFC2020\ROIs0000_spring\dfc_BlackForest\ROIs0000_spring_dfc_BlackForest_p523.tif,E:\Data\DFC2020\ROIs0000_spring\s2_BlackForest\ROIs0000_spring_s2_BlackForest_p523.tif,E:\Data\DFC2020\ROIs0000_spring\s1_BlackForest\ROIs0000_spring_s1_BlackForest_p523.tif
ROIs0000_autumn_dfc_Mumbai_p668,E:\Data\DFC2020\ROIs0000_autumn\dfc_Mumbai\ROIs0000_autumn_dfc_Mumbai_p668.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_Mumbai\ROIs0000_autumn_s2_Mumbai_p668.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_Mumbai\ROIs0000_autumn_s1_Mumbai_p668.tif
ROIs0000_winter_dfc_KippaRing_p637,E:\Data\DFC2020\ROIs0000_winter\dfc_KippaRing\ROIs0000_winter_dfc_KippaRing_p637.tif,E:\Data\DFC2020\ROIs0000_winter\s2_KippaRing\ROIs0000_winter_s2_KippaRing_p637.tif,E:\Data\DFC2020\ROIs0000_winter\s1_KippaRing\ROIs0000_winter_s1_KippaRing_p637.tif
ROIs0000_autumn_dfc_CapeTown_p926,E:\Data\DFC2020\ROIs0000_autumn\dfc_CapeTown\ROIs0000_autumn_dfc_CapeTown_p926.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_CapeTown\ROIs0000_autumn_s2_CapeTown_p926.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_CapeTown\ROIs0000_autumn_s1_CapeTown_p926.tif
ROIs0000_summer_dfc_Chabarovsk_p222,E:\Data\DFC2020\ROIs0000_summer\dfc_Chabarovsk\ROIs0000_summer_dfc_Chabarovsk_p222.tif,E:\Data\DFC2020\ROIs0000_summer\s2_Chabarovsk\ROIs0000_summer_s2_Chabarovsk_p222.tif,E:\Data\DFC2020\ROIs0000_summer\s1_Chabarovsk\ROIs0000_summer_s1_Chabarovsk_p222.tif
ROIs0000_autumn_dfc_CapeTown_p659,E:\Data\DFC2020\ROIs0000_autumn\dfc_CapeTown\ROIs0000_autumn_dfc_CapeTown_p659.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_CapeTown\ROIs0000_autumn_s2_CapeTown_p659.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_CapeTown\ROIs0000_autumn_s1_CapeTown_p659.tif
ROIs0000_autumn_dfc_CapeTown_p1193,E:\Data\DFC2020\ROIs0000_autumn\dfc_CapeTown\ROIs0000_autumn_dfc_CapeTown_p1193.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_CapeTown\ROIs0000_autumn_s2_CapeTown_p1193.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_CapeTown\ROIs0000_autumn_s1_CapeTown_p1193.tif
ROIs0000_spring_dfc_BlackForest_p1301,E:\Data\DFC2020\ROIs0000_spring\dfc_BlackForest\ROIs0000_spring_dfc_BlackForest_p1301.tif,E:\Data\DFC2020\ROIs0000_spring\s2_BlackForest\ROIs0000_spring_s2_BlackForest_p1301.tif,E:\Data\DFC2020\ROIs0000_spring\s1_BlackForest\ROIs0000_spring_s1_BlackForest_p1301.tif
ROIs0000_autumn_dfc_CapeTown_p447,E:\Data\DFC2020\ROIs0000_autumn\dfc_CapeTown\ROIs0000_autumn_dfc_CapeTown_p447.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_CapeTown\ROIs0000_autumn_s2_CapeTown_p447.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_CapeTown\ROIs0000_autumn_s1_CapeTown_p447.tif
ROIs0000_autumn_dfc_Mumbai_p944,E:\Data\DFC2020\ROIs0000_autumn\dfc_Mumbai\ROIs0000_autumn_dfc_Mumbai_p944.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_Mumbai\ROIs0000_autumn_s2_Mumbai_p944.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_Mumbai\ROIs0000_autumn_s1_Mumbai_p944.tif
ROIs0000_autumn_dfc_Mumbai_p384,E:\Data\DFC2020\ROIs0000_autumn\dfc_Mumbai\ROIs0000_autumn_dfc_Mumbai_p384.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_Mumbai\ROIs0000_autumn_s2_Mumbai_p384.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_Mumbai\ROIs0000_autumn_s1_Mumbai_p384.tif
ROIs0000_winter_dfc_KippaRing_p111,E:\Data\DFC2020\ROIs0000_winter\dfc_KippaRing\ROIs0000_winter_dfc_KippaRing_p111.tif,E:\Data\DFC2020\ROIs0000_winter\s2_KippaRing\ROIs0000_winter_s2_KippaRing_p111.tif,E:\Data\DFC2020\ROIs0000_winter\s1_KippaRing\ROIs0000_winter_s1_KippaRing_p111.tif
ROIs0000_autumn_dfc_CapeTown_p344,E:\Data\DFC2020\ROIs0000_autumn\dfc_CapeTown\ROIs0000_autumn_dfc_CapeTown_p344.tif,E:\Data\DFC2020\ROIs0000_autumn\s2_CapeTown\ROIs0000_autumn_s2_CapeTown_p344.tif,E:\Data\DFC2020\ROIs0000_autumn\s1_CapeTown\ROIs0000_autumn_s1_CapeTown_p344.tif
